hs_code,level,description,parent,chapter,section,section_name
520533,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520534,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520535,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, less than 125 decitex (exceeding 80 metric number), per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520541,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520542,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520543,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520544,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520546,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 124 to 106.38 decitex (81 to 94 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520547,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 106.37 to 83.33 decitex (95 to 120 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520548,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, less than 83.33 decitex (exceeding 120 metric number) per single yarn, not for retail sale",5205,52,XI,Textiles and textile articles
520611,6,"Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more (not exceeding 14 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520612,6,"Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520613,6,"Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520614,6,"Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520615,6,"Cotton yarn; (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520621,6,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520622,6,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520623,6,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520624,6,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520625,6,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale",5206,52,XI,Textiles and textile articles
520631,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520632,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520633,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520634,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520635,6,"Cotton yarn; (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520641,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520642,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520643,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520644,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520645,6,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale",5206,52,XI,Textiles and textile articles
520710,6,"Cotton yarn; (not sewing thread), containing 85% or more by weight of cotton, put up for retail sale",5207,52,XI,Textiles and textile articles
520790,6,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",5207,52,XI,Textiles and textile articles
520811,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing not more than 100g/m2",5208,52,XI,Textiles and textile articles
520812,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2",5208,52,XI,Textiles and textile articles
520813,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520819,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5208.1, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520821,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing not more than 100g/m2",5208,52,XI,Textiles and textile articles
520822,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2",5208,52,XI,Textiles and textile articles
520823,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520829,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, of weaves n.e.c. in item no. 5208.2, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520831,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing not more than 100g/m2",5208,52,XI,Textiles and textile articles
520832,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 100g/m2 but not more than 200g/m2",5208,52,XI,Textiles and textile articles
520833,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520839,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, of weaves n.e.c. in item no. 5208.3 weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520841,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing not more than 100g/m2",5208,52,XI,Textiles and textile articles
520842,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 100g/m2 but not more than 200g/m2",5208,52,XI,Textiles and textile articles
520843,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520849,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.c. in item no. 5208.4, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520851,6,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing not more than 100g/m2",5208,52,XI,Textiles and textile articles
520852,6,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 100g/m2 but not more than 200g/m2",5208,52,XI,Textiles and textile articles
520859,6,"Fabrics, woven; containing 85% or more by weight of cotton, printed, of weaves n.e.c. in item no. 5208.5, weighing not more than 200g/m2",5208,52,XI,Textiles and textile articles
520911,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520912,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520919,6,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5209.1, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520921,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520922,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520929,6,"Fabrics, woven; containing 85% or more by weight of cotton, bleached, of weaves n.e.c. in item no. 5209.2, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520931,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520932,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520939,6,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, of weaves n.e.c. in item no. 5209.3, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520941,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520942,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 200g/m2, denim",5209,52,XI,Textiles and textile articles
520943,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520949,6,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.c. in item no. 5209.4, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520951,6,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520952,6,"Fabrics, woven; containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
520959,6,"Fabrics, woven; containing 85% or more by weight of cotton, printed, of weaves n.e.c. in item no. 5209.5, weighing more than 200g/m2",5209,52,XI,Textiles and textile articles
521011,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing 200g/m2 or less",5210,52,XI,Textiles and textile articles
521019,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.c. in item no. 5210.1, weighing 200g/m2 or less",5210,52,XI,Textiles and textile articles
521021,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, bleached, plain weave, weighing 200g/m2 or less",5210,52,XI,Textiles and textile articles
521029,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, bleached, of weaves n.e.c. in item no. 5210.2",5210,52,XI,Textiles and textile articles
521031,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, plain weave",5210,52,XI,Textiles and textile articles
521032,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, 3-thread or 4-thread twill, including cross twill",5210,52,XI,Textiles and textile articles
521039,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, of weaves n.e.c. in item no. 5210.3",5210,52,XI,Textiles and textile articles
521041,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, plain weave",5210,52,XI,Textiles and textile articles
521049,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, of weaves n.e.c. in item no. 5210.4",5210,52,XI,Textiles and textile articles
521051,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, plain weave",5210,52,XI,Textiles and textile articles
521059,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, of weaves n.e.c. in item no. 5210.5",5210,52,XI,Textiles and textile articles
521111,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing more than 200g/m2",5211,52,XI,Textiles and textile articles
521112,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, 3- or 4-thread twill, including cross twill, weighing more than 200g/m2",5211,52,XI,Textiles and textile articles
521119,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.c. in item no. 5211.1, weighing more than 200g/m2",5211,52,XI,Textiles and textile articles
521120,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, bleached",5211,52,XI,Textiles and textile articles
521131,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, plain weave",5211,52,XI,Textiles and textile articles
521132,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, 3-thread or 4-thread twill, including cross twill",5211,52,XI,Textiles and textile articles
521139,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, of weaves n.e.c. in item no. 5211.3",5211,52,XI,Textiles and textile articles
521141,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, plain weave",5211,52,XI,Textiles and textile articles
521142,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, denim",5211,52,XI,Textiles and textile articles
521143,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, 3-thread or 4-thread twill, including cross twill",5211,52,XI,Textiles and textile articles
521149,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, of weaves n.e.c. in item no. 5211.4",5211,52,XI,Textiles and textile articles
521151,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, plain weave",5211,52,XI,Textiles and textile articles
521152,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, 3-thread or 4-thread twill, including cross twill",5211,52,XI,Textiles and textile articles
521159,6,"Fabrics, woven; containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, of weaves n.e.c. in item no. 5211.5",5211,52,XI,Textiles and textile articles
521211,6,"Fabrics, woven; of cotton, unbleached, weighing not more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521212,6,"Fabrics, woven; of cotton, bleached, weighing not more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521213,6,"Fabrics, woven; of cotton, dyed, weighing not more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521214,6,"Fabrics, woven; of cotton, of yarns of different colours, weighing not more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521215,6,"Fabrics, woven; of cotton, printed, weighing not more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521221,6,"Fabrics, woven; of cotton, unbleached, weighing more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521222,6,"Fabrics, woven; of cotton, bleached, weighing more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521223,6,"Fabrics, woven; of cotton, dyed, weighing more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521224,6,"Fabrics, woven; of cotton, of yarns of different colours, weighing more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
521225,6,"Fabrics, woven; of cotton, printed, weighing more than 200g/m2, n.e.c. in chapter 52",5212,52,XI,Textiles and textile articles
530110,6,"Flax; raw or retted, but not spun",5301,53,XI,Textiles and textile articles
530121,6,"Flax; broken or scutched, but not spun",5301,53,XI,Textiles and textile articles
530129,6,"Flax; hackled or otherwise processed, but not spun",5301,53,XI,Textiles and textile articles
530130,6,"Flax; tow and waste, including yarn waste and garnetted stock",5301,53,XI,Textiles and textile articles
530210,6,"Hemp (cannabis sativa L.); raw or retted, but not spun",5302,53,XI,Textiles and textile articles
530290,6,"Hemp (cannabis sativa L.); processed (other than retted) (but not spun), true hemp tow and waste (including yarn waste and garnetted stock)",5302,53,XI,Textiles and textile articles
530310,6,"Jute and other textile bast fibres; raw or retted, but not spun, (excluding flax, hemp (cannabis sativa L.), and ramie)",5303,53,XI,Textiles and textile articles
530390,6,"Jute and other textile bast fibres; processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)",5303,53,XI,Textiles and textile articles
530500,6,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)",5305,53,XI,Textiles and textile articles
530610,6,"Yarn; of flax, single",5306,53,XI,Textiles and textile articles
530620,6,"Yarn; of flax, multiple (folded) or cabled",5306,53,XI,Textiles and textile articles
530710,6,"Yarn; of jute or of other textile bast fibres, single",5307,53,XI,Textiles and textile articles
530720,6,"Yarn; of jute or of other textile bast fibres, multiple (folded) or cabled",5307,53,XI,Textiles and textile articles
530810,6,Yarn; of coir,5308,53,XI,Textiles and textile articles
530820,6,Yarn; of hemp (cannabis sativa L.),5308,53,XI,Textiles and textile articles
530890,6,"Yarn; of vegetable textile fibres n.e.c. in heading no. 5306, 5307 and 5308",5308,53,XI,Textiles and textile articles
530911,6,"Fabrics, woven; of flax, containing 85% or more flax, unbleached or bleached",5309,53,XI,Textiles and textile articles
530919,6,"Fabrics, woven; of flax, containing 85% or more flax, other than bleached or unbleached",5309,53,XI,Textiles and textile articles
530921,6,"Fabrics, woven; of flax, containing less than 85% flax, unbleached or bleached",5309,53,XI,Textiles and textile articles
530929,6,"Fabrics, woven; of flax, containing less than 85% flax, other than unbleached or bleached",5309,53,XI,Textiles and textile articles
531010,6,"Fabrics, woven; of jute or of other textile bast fibres of heading no. 5303, unbleached",5310,53,XI,Textiles and textile articles
531090,6,"Fabrics, woven; of jute or of other textile bast fibres of heading no. 5303, other than unbleached",5310,53,XI,Textiles and textile articles
531100,6,"Fabrics, woven; of vegetable textile fibres n.e.c. in heading no. 5309 and 5310, woven fabrics of paper yarn",5311,53,XI,Textiles and textile articles
540110,6,"Sewing thread; of synthetic filaments, whether or not put up for retail sale",5401,54,XI,Textiles and textile articles
540120,6,"Sewing thread; of artificial filaments, whether or not put up for retail sale",5401,54,XI,Textiles and textile articles
540211,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of high tenacity yarn of nylon or other polyamides, textured or not; of aramids, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540219,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of high tenacity nylon or other polyamides, textured or not; other than aramids, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540220,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of high tenacity yarn of polyesters, whether or not textured, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540231,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), textured, of nylon or other polyamides, measuring per single yarn not more than 50 decitex, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540232,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), textured, of nylon or other polyamides, measuring per single yarn more than 50 decitex, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540233,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), textured, of polyesters, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540234,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), textured, of polypropylene, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540239,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), textured, other than of nylon or other polymides, polyesters, or polypropylene, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540244,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, elastomeric, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540245,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of nylon or other polymides (not high tenacity or textured), single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540246,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), partially oriented, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540247,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), polyesters (not high tenacity or textured), not partially oriented, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540248,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polypropylene (not high tenacity or textured), single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540249,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, single, untwisted or twisted 50 turns or less per metre, n.e.c. in heading no. 5402, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540251,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of nylon or other polymides (not high tenacity or textured), single, twisted more than 50 turns per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540252,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), single, twisted more than 50 turns per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540253,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polypropylene (not high tenacity or textured), single, twisted more than 50 turns per metre, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540259,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, single, twisted more than 50 turns per metre, n.e.c. in heading no. 5402, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540261,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of nylon or other polymides (not high tenacity or textured), multiple (folded) or cabled, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540262,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), multiple (folded) or cabled, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540263,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polypropylene, other than high tenacity or textured yarn, multiple (folded) or cabled, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540269,6,"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, multiple (folded) or cabled, n.e.c. in heading no. 5402, not for retail sale, not sewing thread",5402,54,XI,Textiles and textile articles
540310,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), of high tenacity viscose rayon, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540331,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), of viscose rayon (not high tenacity), single, untwisted or twisted 120 turns per metre or less, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540332,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), of viscose rayon (not high tenacity), single, twisted more than 120 turns per metre, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540333,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), of cellulose acetate, single, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540339,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), single, n.e.c. in heading no. 5403, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540341,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), of viscose rayon (not high tenacity), multiple (folded) or cabled, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540342,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), of cellulose acetate, multiple (folded) or cabled, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540349,6,"Yarn, artificial; filament, monofilament (less than 67 decitex), multiple (folded) or cabled, n.e.c. in heading no. 5403, not for retail sale, not sewing thread",5403,54,XI,Textiles and textile articles
540411,6,Elastomeric monofilament; of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm,5404,54,XI,Textiles and textile articles
540412,6,Monofilament of polypropylene; of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm,5404,54,XI,Textiles and textile articles
540419,6,Monofilament n.e.c. in heading no 5404; of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm,5404,54,XI,Textiles and textile articles
540490,6,"Filament, synthetic; strip and the like (e.g.. artificial straw), of synthetic textile materials of an apparent width not exceeding 5mm",5404,54,XI,Textiles and textile articles
540500,6,"Monofilament, synthetic; of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm, strip and the like (e.g. artificial straw), of synthetic textile materials with width not over 5mm",5405,54,XI,Textiles and textile articles
540600,6,"Man-made filament yarn (other than sewing thread), put up for retail sale",5406,54,XI,Textiles and textile articles
540710,6,"Fabrics, woven; from high tenacity yarn, of nylon, other polyamides or of polyesters",5407,54,XI,Textiles and textile articles
540720,6,"Fabrics, woven; from strip or the like, of synthetic textile materials",5407,54,XI,Textiles and textile articles
